recording_id,recording_number,epoch_number,sample_index,native_time_seconds,published_time_seconds,measured_ecg_raw,predicted_ecg_raw,measured_ecg_normalized,predicted_ecg_normalized,difference_scaled
recording_01,1,1,0,0.0000000,0.0000000,-0.00072175345849245787,-0.86040002107620239,0.50360702385664391,0.049992326849313019,-0.068042204551099633
recording_01,1,1,1,0.0005000,0.0015001,-0.0035569267347455025,-0.87669998407363892,0.50192079587460026,0.041668799788353743,-0.069037799412936973
recording_01,1,1,2,0.0010000,0.0030001,-0.0090379007160663605,-0.89079999923706055,0.49866096982672975,0.034468669469583491,-0.069628845053571933
recording_01,1,1,3,0.0015000,0.0045002,-0.016890795901417732,-0.90240001678466797,0.49399043638438045,0.028545155411281789,-0.069816792145964798
recording_01,1,1,4,0.0020000,0.0060003,-0.026896849274635315,-0.91180002689361572,0.48803930552085883,0.023745068532101621,-0.069644135548313585
recording_01,1,1,5,0.0025000,0.0075003,-0.03887438029050827,-0.9187999963760376,0.48091563229639472,0.020170555177562673,-0.069111761567824809
recording_01,1,1,6,0.0030000,0.0090004,-0.052628040313720703,-0.92339998483657837,0.47273560090963396,0.017821584910732435,-0.068237102399835228
recording_01,1,1,7,0.0035000,0.0105004,-0.067971169948577881,-0.92580002546310425,0.46361022760736764,0.016596011386091212,-0.067052132433191455
recording_01,1,1,8,0.0040000,0.0120005,-0.084752224385738373,-0.92589998245239258,0.453629644128698,0.016544968650263878,-0.065562701321765116
recording_01,1,1,9,0.0045000,0.0135006,-0.10284116864204407,-0.92379999160766602,0.44287118917778195,0.017617322656625564,-0.063788079978173456
recording_01,1,1,10,0.0050000,0.0150006,-0.12205213308334351,-0.91960000991821289,0.43144540928831587,0.01976203066934893,-0.061752506792845038
recording_01,1,1,11,0.0055000,0.0165007,-0.14217284321784973,-0.9132000207901001,0.41947855536387718,0.02303016586119383,-0.0594672584254025
recording_01,1,1,12,0.0060000,0.0180008,-0.16300934553146362,-0.90479999780654907,0.40708598185049871,0.027319612323573082,-0.056964955429038837
recording_01,1,1,13,0.0065000,0.0195008,-0.18438760936260223,-0.89440000057220459,0.39437119401671306,0.032630339619554173,-0.054261128159573825
recording_01,1,1,14,0.0070000,0.0210009,-0.20615594089031219,-0.88220000267028809,0.38142441222673468,0.038860231840549923,-0.051384627057927713
recording_01,1,1,15,0.0075000,0.0225009,-0.22814065217971802,-0.86809998750686646,0.36834893791133794,0.046060362159320176,-0.048343286362802662
recording_01,1,1,16,0.0080000,0.0240010,-0.25019407272338867,-0.8521999716758728,0.35523259855670813,0.05417965740310509,-0.045157941173040457
recording_01,1,1,17,0.0085000,0.0255011,-0.27220314741134644,-0.83469998836517334,0.34214263403546757,0.063115971226384973,-0.041853999421362392
recording_01,1,1,18,0.0090000,0.0270011,-0.29401129484176636,-0.8156999945640564,0.32917217161551066,0.072818260893332487,-0.038453086608326727
recording_01,1,1,19,0.0095000,0.0285012,-0.3154628574848175,-0.79519999027252197,0.31641378908903628,0.083286526403947653,-0.03496908940276329
