rank,participant,start_sample,start_time_sec,correlation,affine_nrmse,scale,offset
1,P10,274699,137.3495,0.7170452071740497,0.08152212151893544,0.5446280007198634,0.0006464278583892506
2,P10,392015,196.0075,0.7116446985940393,0.08216689217893647,0.5591523434084538,-0.0021164512116542407
3,P10,446424,223.212,0.6840346251788796,0.08531420258127706,0.5293170758814181,-0.0028604309350933935
4,P10,15250,7.625,0.611323354963192,0.09255750830435282,0.522505423873254,-0.0010941463725774566
5,P10,225902,112.951,0.5703366241439664,0.09606974302827144,0.45163799157392,-0.0029951680556187083
6,P10,257564,128.782,0.5369715279401774,0.0986649365028002,0.41810393669756557,-0.0006895133693578661
7,P10,303596,151.798,0.5351444438236302,0.09880063064290284,0.4056454293461613,0.001318895162829504
8,P10,359582,179.791,0.5318042998043825,0.09904702457243236,0.44029827137058974,-0.002202981737408096
9,P10,209317,104.6585,0.5153184305708081,0.1002319746842838,0.43199205707857974,-0.001078596834577905
10,P10,123012,61.506,0.5094203519018152,0.10064354957606078,0.43525979052376357,-0.0016821044245276422
11,P10,287973,143.9865,0.4789315262183507,0.10267093412918585,0.37362415240146546,-0.0018349619170044899
12,P10,339594,169.797,0.47648577824360144,0.10282647717974508,0.3889816751102003,0.0006204370432134966
