rank,participant,start_sample,start_time_sec,correlation,affine_nrmse,scale,offset
1,P13,230000,115.0,0.9999999999999902,1.3513223571991296e-09,0.9999999997572913,-2.4507557376142436e-09
2,P13,51681,25.8405,0.8534560439901223,0.060953855637719975,0.8354699767260169,0.0003324560764732917
3,P13,135496,67.748,0.7046868384811172,0.08298312519364241,0.69259870229669,-0.00010218797713611474
4,P13,216847,108.4235,0.696485843607257,0.08392486997750723,0.6870089908095782,-0.0014885681582147245
5,P13,194816,97.408,0.6917610465655573,0.08445771982298954,0.6936605162350726,-0.0007041724421141054
6,P13,296787,148.3935,0.6750260490842283,0.08629013310843861,0.6559911554693147,-0.0005220945563411429
7,P13,115986,57.993,0.6668570853243122,0.08715464821939382,0.6500807242963613,0.0009656422145832959
8,P13,330600,165.3,0.65921059350607,0.08794676720631676,0.6458065100298978,-0.0008395261943202244
9,P13,62738,31.369,0.6516613278321131,0.08871303292719765,0.6388226195786965,-0.0009558192843309674
10,P13,289021,144.5105,0.6398720036688903,0.08987926228947633,0.649601206114088,-0.0007489525400121321
11,P13,128425,64.2125,0.6165373434462303,0.09208321845801588,0.5993763085276704,-0.0006349610858661707
12,P13,174469,87.2345,0.6144345164717563,0.09227528011173808,0.588702732041142,-0.001240760063683052
