sample_index,time_sec,predicted_ecg_rendered,marker_color_hex,marker_red_8bit,marker_green_8bit,marker_blue_8bit,jet_colormap_position_approx,jet_rgb_distance_8bit,svg_x,svg_y,svg_marker_path_id
48,0.024,-0.006954614,#000089,0,0,137,0.007843137,0,108.150047,190.837253,#C0_0_93f72b35f6
49,0.0245,-0.006869905,#000089,0,0,137,0.007843137,0,108.274883,190.822735,#C0_0_93f72b35f6
50,0.025,-0.006795389,#000089,0,0,137,0.007843137,0,108.399719,190.809964,#C0_0_93f72b35f6
51,0.0255,-0.006732187,#000089,0,0,137,0.007843137,0,108.524556,190.799132,#C0_0_93f72b35f6
52,0.026,-0.006677293,#000089,0,0,137,0.007843137,0,108.649392,190.789724,#C0_0_93f72b35f6
53,0.0265,-0.006630177,#000089,0,0,137,0.007843137,0,108.774228,190.781649,#C0_0_93f72b35f6
54,0.027,-0.006591253,#000089,0,0,137,0.007843137,0,108.899065,190.774978,#C0_0_93f72b35f6
55,0.0275,-0.006558614,#000089,0,0,137,0.007843137,0,109.023901,190.769384,#C0_0_93f72b35f6
56,0.028,-0.006529189,#000089,0,0,137,0.007843137,0,109.148738,190.764341,#C0_0_93f72b35f6
57,0.0285,-0.006500196,#000089,0,0,137,0.007843137,0,109.273574,190.759372,#C0_0_93f72b35f6
58,0.029,-0.006471512,#000089,0,0,137,0.007843137,0,109.39841,190.754456,#C0_0_93f72b35f6
59,0.0295,-0.006444206,#000089,0,0,137,0.007843137,0,109.523247,190.749776,#C0_0_93f72b35f6
60,0.03,-0.006417488,#000089,0,0,137,0.007843137,0,109.648083,190.745197,#C0_0_93f72b35f6
61,0.0305,-0.006389732,#000089,0,0,137,0.007843137,0,109.772919,190.74044,#C0_0_93f72b35f6
62,0.031,-0.006360815,#000089,0,0,137,0.007843137,0,109.897756,190.735484,#C0_0_93f72b35f6
63,0.0315,-0.006331845,#000089,0,0,137,0.007843137,0,110.022592,190.730519,#C0_0_93f72b35f6
64,0.032,-0.006304189,#000089,0,0,137,0.007843137,0,110.147428,190.725779,#C0_0_93f72b35f6
65,0.0325,-0.006278533,#000089,0,0,137,0.007843137,0,110.272265,190.721382,#C0_0_93f72b35f6
66,0.033,-0.006255544,#000089,0,0,137,0.007843137,0,110.397101,190.717442,#C0_0_93f72b35f6
67,0.0335,-0.006235222,#000089,0,0,137,0.007843137,0,110.521938,190.713959,#C0_0_93f72b35f6
68,0.034,-0.006215914,#000089,0,0,137,0.007843137,0,110.646774,190.71065,#C0_0_93f72b35f6
69,0.0345,-0.006197628,#000089,0,0,137,0.007843137,0,110.77161,190.707516,#C0_0_93f72b35f6
70,0.035,-0.006181758,#000089,0,0,137,0.007843137,0,110.896447,190.704796,#C0_0_93f72b35f6
71,0.0355,-0.006168273,#000089,0,0,137,0.007843137,0,111.021283,190.702485,#C0_0_93f72b35f6
72,0.036,-0.006154999,#000089,0,0,137,0.007843137,0,111.146119,190.70021,#C0_0_93f72b35f6
73,0.0365,-0.006139345,#000089,0,0,137,0.007843137,0,111.270956,190.697527,#C0_0_93f72b35f6
74,0.037,-0.006121169,#000089,0,0,137,0.007843137,0,111.395792,190.694412,#C0_0_93f72b35f6
75,0.0375,-0.006100053,#000089,0,0,137,0.007843137,0,111.520628,190.690793,#C0_0_93f72b35f6
76,0.038,-0.006072933,#000089,0,0,137,0.007843137,0,111.645465,190.686145,#C0_0_93f72b35f6
77,0.0385,-0.006039459,#000089,0,0,137,0.007843137,0,111.770301,190.680408,#C0_0_93f72b35f6
78,0.039,-0.006002677,#000089,0,0,137,0.007843137,0,111.895138,190.674104,#C0_0_93f72b35f6
79,0.0395,-0.005963695,#000089,0,0,137,0.007843137,0,112.019974,190.667423,#C0_0_93f72b35f6
80,0.04,-0.005918493,#000089,0,0,137,0.007843137,0,112.14481,190.659676,#C0_0_93f72b35f6
81,0.0405,-0.005861621,#000089,0,0,137,0.007843137,0,112.269647,190.649929,#C0_0_93f72b35f6
82,0.041,-0.005792707,#000089,0,0,137,0.007843137,0,112.394483,190.638118,#C0_0_93f72b35f6
83,0.0415,-0.005713885,#000089,0,0,137,0.007843137,0,112.519319,190.624609,#C0_0_93f72b35f6
84,0.042,-0.005625593,#000089,0,0,137,0.007843137,0,112.644156,190.609477,#C0_0_93f72b35f6
85,0.0425,-0.005528047,#000089,0,0,137,0.007843137,0,112.768992,190.592759,#C0_0_93f72b35f6
86,0.043,-0.00542364,#000089,0,0,137,0.007843137,0,112.893828,190.574865,#C0_0_93f72b35f6
87,0.0435,-0.00531324,#000089,0,0,137,0.007843137,0,113.018665,190.555944,#C0_0_93f72b35f6
88,0.044,-0.005195109,#000089,0,0,137,0.007843137,0,113.143501,190.535698,#C0_0_93f72b35f6
89,0.0445,-0.005068641,#000089,0,0,137,0.007843137,0,113.268338,190.514023,#C0_0_93f72b35f6
90,0.045,-0.004932597,#000089,0,0,137,0.007843137,0,113.393174,190.490707,#C0_0_93f72b35f6
91,0.0455,-0.004786734,#000089,0,0,137,0.007843137,0,113.51801,190.465708,#C0_0_93f72b35f6
92,0.046,-0.004632089,#000089,0,0,137,0.007843137,0,113.642847,190.439204,#C0_0_93f72b35f6
93,0.0465,-0.004468085,#000089,0,0,137,0.007843137,0,113.767683,190.411096,#C0_0_93f72b35f6
94,0.047,-0.004296012,#000089,0,0,137,0.007843137,0,113.892519,190.381605,#C0_0_93f72b35f6
95,0.0475,-0.004117987,#000089,0,0,137,0.007843137,0,114.017356,190.351094,#C0_0_93f72b35f6
96,0.048,-0.003933708,#000089,0,0,137,0.007843137,0,114.142192,190.319511,#C0_0_93f72b35f6
97,0.0485,-0.003742724,#000089,0,0,137,0.007843137,0,114.267028,190.286779,#C0_0_93f72b35f6
98,0.049,-0.003544581,#000089,0,0,137,0.007843137,0,114.391865,190.25282,#C0_0_93f72b35f6
99,0.0495,-0.003339051,#000089,0,0,137,0.007843137,0,114.516701,190.217595,#C0_0_93f72b35f6
100,0.05,-0.003128002,#000089,0,0,137,0.007843137,0,114.641538,190.181424,#C0_0_93f72b35f6
101,0.0505,-0.002912506,#000089,0,0,137,0.007843137,0,114.766374,190.144491,#C0_0_93f72b35f6
102,0.051,-0.002693457,#000089,0,0,137,0.007843137,0,114.89121,190.106949,#C0_0_93f72b35f6
103,0.0515,-0.002472535,#000089,0,0,137,0.007843137,0,115.016047,190.069086,#C0_0_93f72b35f6
104,0.052,-0.002251234,#000089,0,0,137,0.007843137,0,115.140883,190.031158,#C0_0_93f72b35f6
105,0.0525,-0.002032757,#000089,0,0,137,0.007843137,0,115.265719,189.993714,#C0_0_93f72b35f6
106,0.053,-0.001817798,#000089,0,0,137,0.007843137,0,115.390556,189.956873,#C0_0_93f72b35f6
107,0.0535,-0.001604753,#000089,0,0,137,0.007843137,0,115.515392,189.92036,#C0_0_93f72b35f6
108,0.054,-0.001394765,#000089,0,0,137,0.007843137,0,115.640228,189.884371,#C0_0_93f72b35f6
109,0.0545,-0.001188057,#000089,0,0,137,0.007843137,0,115.765065,189.848944,#C0_0_93f72b35f6
110,0.055,-0.000984003,#000089,0,0,137,0.007843137,0,115.889901,189.813972,#C0_0_93f72b35f6
111,0.0555,-0.000784174,#000089,0,0,137,0.007843137,0,116.014738,189.779724,#C0_0_93f72b35f6
112,0.056,-0.000590074,#000089,0,0,137,0.007843137,0,116.139574,189.746458,#C0_0_93f72b35f6
113,0.0565,-0.000402457,#000089,0,0,137,0.007843137,0,116.26441,189.714303,#C0_0_93f72b35f6
114,0.057,-0.000221328,#000089,0,0,137,0.007843137,0,116.389247,189.68326,#C0_0_93f72b35f6
115,0.0575,-0.00004667,#000089,0,0,137,0.007843137,0,116.514083,189.653326,#C0_0_93f72b35f6
116,0.058,0.000120356,#000089,0,0,137,0.007843137,0,116.638919,189.6247,#C0_0_93f72b35f6
117,0.0585,0.000280059,#000089,0,0,137,0.007843137,0,116.763756,189.597329,#C0_0_93f72b35f6
118,0.059,0.000434074,#000089,0,0,137,0.007843137,0,116.888592,189.570933,#C0_0_93f72b35f6
119,0.0595,0.000580993,#000089,0,0,137,0.007843137,0,117.013428,189.545753,#C0_0_93f72b35f6
120,0.06,0.000718554,#000089,0,0,137,0.007843137,0,117.138265,189.522177,#C0_0_93f72b35f6
121,0.0605,0.000847934,#000089,0,0,137,0.007843137,0,117.263101,189.500003,#C0_0_93f72b35f6
122,0.061,0.000971987,#000089,0,0,137,0.007843137,0,117.387938,189.478742,#C0_0_93f72b35f6
123,0.0615,0.001091093,#000089,0,0,137,0.007843137,0,117.512774,189.458329,#C0_0_93f72b35f6
124,0.062,0.001203785,#000089,0,0,137,0.007843137,0,117.63761,189.439015,#C0_0_93f72b35f6
125,0.0625,0.001310282,#000089,0,0,137,0.007843137,0,117.762447,189.420763,#C0_0_93f72b35f6
126,0.063,0.001411462,#000089,0,0,137,0.007843137,0,117.887283,189.403422,#C0_0_93f72b35f6
127,0.0635,0.00150647,#000089,0,0,137,0.007843137,0,118.012119,189.387139,#C0_0_93f72b35f6
128,0.064,0.001594598,#000089,0,0,137,0.007843137,0,118.136956,189.372035,#C0_0_93f72b35f6
129,0.0645,0.001677306,#000089,0,0,137,0.007843137,0,118.261792,189.35786,#C0_0_93f72b35f6
130,0.065,0.001755889,#000089,0,0,137,0.007843137,0,118.386628,189.344392,#C0_0_93f72b35f6
131,0.0655,0.001828625,#000089,0,0,137,0.007843137,0,118.511465,189.331926,#C0_0_93f72b35f6
132,0.066,0.001894126,#000089,0,0,137,0.007843137,0,118.636301,189.3207,#C0_0_93f72b35f6
133,0.0665,0.001953898,#000089,0,0,137,0.007843137,0,118.761138,189.310456,#C0_0_93f72b35f6
134,0.067,0.002008558,#000089,0,0,137,0.007843137,0,118.885974,189.301088,#C0_0_93f72b35f6
135,0.0675,0.002057698,#000089,0,0,137,0.007843137,0,119.01081,189.292666,#C0_0_93f72b35f6
136,0.068,0.002099755,#000089,0,0,137,0.007843137,0,119.135647,189.285458,#C0_0_93f72b35f6
137,0.0685,0.002132728,#000089,0,0,137,0.007843137,0,119.260483,189.279807,#C0_0_93f72b35f6
138,0.069,0.002156551,#000089,0,0,137,0.007843137,0,119.385319,189.275724,#C0_0_93f72b35f6
139,0.0695,0.002170759,#000089,0,0,137,0.007843137,0,119.510156,189.273289,#C0_0_93f72b35f6
140,0.07,0.002176243,#000089,0,0,137,0.007843137,0,119.634992,189.272349,#C0_0_93f72b35f6
141,0.0705,0.002175928,#000089,0,0,137,0.007843137,0,119.759828,189.272403,#C0_0_93f72b35f6
142,0.071,0.002171255,#000089,0,0,137,0.007843137,0,119.884665,189.273204,#C0_0_93f72b35f6
143,0.0715,0.002162298,#000089,0,0,137,0.007843137,0,120.009501,189.274739,#C0_0_93f72b35f6
144,0.072,0.002151364,#000089,0,0,137,0.007843137,0,120.134338,189.276613,#C0_0_93f72b35f6
145,0.0725,0.00214316,#000089,0,0,137,0.007843137,0,120.259174,189.278019,#C0_0_93f72b35f6
146,0.073,0.00213963,#000089,0,0,137,0.007843137,0,120.38401,189.278624,#C0_0_93f72b35f6
147,0.0735,0.002139554,#000089,0,0,137,0.007843137,0,120.508847,189.278637,#C0_0_93f72b35f6
148,0.074,0.002142536,#000089,0,0,137,0.007843137,0,120.633683,189.278126,#C0_0_93f72b35f6
149,0.0745,0.002150121,#000089,0,0,137,0.007843137,0,120.758519,189.276826,#C0_0_93f72b35f6
150,0.075,0.002162882,#000089,0,0,137,0.007843137,0,120.883356,189.274639,#C0_0_93f72b35f6
151,0.0755,0.002179773,#000089,0,0,137,0.007843137,0,121.008192,189.271744,#C0_0_93f72b35f6
152,0.076,0.002202745,#000089,0,0,137,0.007843137,0,121.133028,189.267807,#C0_0_93f72b35f6
153,0.0765,0.002236061,#000089,0,0,137,0.007843137,0,121.257865,189.262097,#C0_0_93f72b35f6
154,0.077,0.002281118,#000089,0,0,137,0.007843137,0,121.382701,189.254375,#C0_0_93f72b35f6
155,0.0775,0.002336034,#000089,0,0,137,0.007843137,0,121.507538,189.244963,#C0_0_93f72b35f6
156,0.078,0.002399196,#000089,0,0,137,0.007843137,0,121.632374,189.234138,#C0_0_93f72b35f6
157,0.0785,0.002470257,#000089,0,0,137,0.007843137,0,121.75721,189.221959,#C0_0_93f72b35f6
158,0.079,0.002548157,#000089,0,0,137,0.007843137,0,121.882047,189.208608,#C0_0_93f72b35f6
159,0.0795,0.002631023,#000089,0,0,137,0.007843137,0,122.006883,189.194406,#C0_0_93f72b35f6
160,0.08,0.002717582,#000089,0,0,137,0.007843137,0,122.131719,189.179571,#C0_0_93f72b35f6
161,0.0805,0.002807361,#000089,0,0,137,0.007843137,0,122.256556,189.164184,#C0_0_93f72b35f6
162,0.081,0.002901039,#000089,0,0,137,0.007843137,0,122.381392,189.148129,#C0_0_93f72b35f6
163,0.0815,0.002998555,#000089,0,0,137,0.007843137,0,122.506228,189.131416,#C0_0_93f72b35f6
164,0.082,0.003099129,#000089,0,0,137,0.007843137,0,122.631065,189.114179,#C0_0_93f72b35f6
165,0.0825,0.003202393,#000089,0,0,137,0.007843137,0,122.755901,189.096481,#C0_0_93f72b35f6
166,0.083,0.003306923,#000089,0,0,137,0.007843137,0,122.880738,189.078566,#C0_0_93f72b35f6
167,0.0835,0.003412345,#000089,0,0,137,0.007843137,0,123.005574,189.060498,#C0_0_93f72b35f6
168,0.084,0.003521549,#000089,0,0,137,0.007843137,0,123.13041,189.041782,#C0_0_93f72b35f6
169,0.0845,0.003638577,#000089,0,0,137,0.007843137,0,123.255247,189.021725,#C0_0_93f72b35f6
170,0.085,0.003764491,#000089,0,0,137,0.007843137,0,123.380083,189.000145,#C0_0_93f72b35f6
171,0.0855,0.003898394,#000089,0,0,137,0.007843137,0,123.504919,188.977196,#C0_0_93f72b35f6
172,0.086,0.004039047,#000089,0,0,137,0.007843137,0,123.629756,188.95309,#C0_0_93f72b35f6
173,0.0865,0.004184718,#000089,0,0,137,0.007843137,0,123.754592,188.928124,#C0_0_93f72b35f6
174,0.087,0.004334397,#000089,0,0,137,0.007843137,0,123.879428,188.902471,#C0_0_93f72b35f6
175,0.0875,0.004487221,#000089,0,0,137,0.007843137,0,124.004265,188.876279,#C0_0_93f72b35f6
176,0.088,0.004645367,#000089,0,0,137,0.007843137,0,124.129101,188.849175,#C0_0_93f72b35f6
177,0.0885,0.004814056,#000089,0,0,137,0.007843137,0,124.253938,188.820264,#C0_0_93f72b35f6
178,0.089,0.004995185,#000089,0,0,137,0.007843137,0,124.378774,188.789221,#C0_0_93f72b35f6
179,0.0895,0.005187114,#000089,0,0,137,0.007843137,0,124.50361,188.756327,#C0_0_93f72b35f6
180,0.09,0.005388536,#000089,0,0,137,0.007843137,0,124.628447,188.721806,#C0_0_93f72b35f6
181,0.0905,0.005598769,#000089,0,0,137,0.007843137,0,124.753283,188.685775,#C0_0_93f72b35f6
182,0.091,0.005816814,#000089,0,0,137,0.007843137,0,124.878119,188.648405,#C0_0_93f72b35f6
183,0.0915,0.006041225,#000089,0,0,137,0.007843137,0,125.002956,188.609944,#C0_0_93f72b35f6
184,0.092,0.006270479,#000089,0,0,137,0.007843137,0,125.127792,188.570653,#C0_0_93f72b35f6
185,0.0925,0.006504389,#000089,0,0,137,0.007843137,0,125.252628,188.530564,#C0_0_93f72b35f6
186,0.093,0.006743516,#000089,0,0,137,0.007843137,0,125.377465,188.489581,#C0_0_93f72b35f6
187,0.0935,0.006988255,#000089,0,0,137,0.007843137,0,125.502301,188.447636,#C0_0_93f72b35f6
188,0.094,0.007237657,#000089,0,0,137,0.007843137,0,125.627138,188.404892,#C0_0_93f72b35f6
189,0.0945,0.00748889,#000089,0,0,137,0.007843137,0,125.751974,188.361834,#C0_0_93f72b35f6
190,0.095,0.00774041,#000089,0,0,137,0.007843137,0,125.87681,188.318727,#C0_0_93f72b35f6
191,0.0955,0.007992122,#000089,0,0,137,0.007843137,0,126.001647,188.275587,#C0_0_93f72b35f6
192,0.096,0.00824157,#000089,0,0,137,0.007843137,0,126.126483,188.232835,#C0_0_93f72b35f6
193,0.0965,0.008485195,#000089,0,0,137,0.007843137,0,126.251319,188.191081,#C0_0_93f72b35f6
194,0.097,0.0087219,#000089,0,0,137,0.007843137,0,126.376156,188.150513,#C0_0_93f72b35f6
195,0.0975,0.008950991,#000089,0,0,137,0.007843137,0,126.500992,188.11125,#C0_0_93f72b35f6
196,0.098,0.009171522,#000089,0,0,137,0.007843137,0,126.625828,188.073454,#C0_0_93f72b35f6
197,0.0985,0.009383312,#000089,0,0,137,0.007843137,0,126.750665,188.037156,#C0_0_93f72b35f6
198,0.099,0.009585621,#000089,0,0,137,0.007843137,0,126.875501,188.002483,#C0_0_93f72b35f6
199,0.0995,0.009777988,#000089,0,0,137,0.007843137,0,127.000338,187.969514,#C0_0_93f72b35f6
200,0.1,0.009960033,#000089,0,0,137,0.007843137,0,127.125174,187.938314,#C0_0_93f72b35f6
201,0.1005,0.010132281,#000089,0,0,137,0.007843137,0,127.25001,187.908793,#C0_0_93f72b35f6
202,0.101,0.010296751,#000089,0,0,137,0.007843137,0,127.374847,187.880605,#C0_0_93f72b35f6
203,0.1015,0.010454588,#000089,0,0,137,0.007843137,0,127.499683,187.853554,#C0_0_93f72b35f6
204,0.102,0.010607278,#000089,0,0,137,0.007843137,0,127.624519,187.827385,#C0_0_93f72b35f6
205,0.1025,0.010756041,#000089,0,0,137,0.007843137,0,127.749356,187.801889,#C0_0_93f72b35f6
206,0.103,0.01089946,#000089,0,0,137,0.007843137,0,127.874192,187.777309,#C0_0_93f72b35f6
207,0.1035,0.011035434,#000089,0,0,137,0.007843137,0,127.999028,187.754005,#C0_0_93f72b35f6
208,0.104,0.011161301,#000089,0,0,137,0.007843137,0,128.123865,187.732433,#C0_0_93f72b35f6
209,0.1045,0.011273825,#000089,0,0,137,0.007843137,0,128.248701,187.713148,#C0_0_93f72b35f6
210,0.105,0.011372689,#000089,0,0,137,0.007843137,0,128.373537,187.696204,#C0_0_93f72b35f6
211,0.1055,0.011460187,#000089,0,0,137,0.007843137,0,128.498374,187.681208,#C0_0_93f72b35f6
212,0.106,0.011537749,#000089,0,0,137,0.007843137,0,128.62321,187.667915,#C0_0_93f72b35f6
213,0.1065,0.011606173,#000089,0,0,137,0.007843137,0,128.748047,187.656188,#C0_0_93f72b35f6
214,0.107,0.011665799,#000089,0,0,137,0.007843137,0,128.872883,187.645969,#C0_0_93f72b35f6
215,0.1075,0.011715762,#000089,0,0,137,0.007843137,0,128.997719,187.637406,#C0_0_93f72b35f6
216,0.108,0.011755333,#000089,0,0,137,0.007843137,0,129.122556,187.630624,#C0_0_93f72b35f6
217,0.1085,0.01178414,#000089,0,0,137,0.007843137,0,129.247392,187.625687,#C0_0_93f72b35f6
218,0.109,0.011803645,#000089,0,0,137,0.007843137,0,129.372228,187.622344,#C0_0_93f72b35f6
219,0.1095,0.011816604,#000089,0,0,137,0.007843137,0,129.497065,187.620123,#C0_0_93f72b35f6
220,0.11,0.011824831,#000089,0,0,137,0.007843137,0,129.621901,187.618713,#C0_0_93f72b35f6
221,0.1105,0.011829342,#000089,0,0,137,0.007843137,0,129.746738,187.61794,#C0_0_93f72b35f6
222,0.111,0.011830252,#000089,0,0,137,0.007843137,0,129.871574,187.617784,#C0_0_93f72b35f6
223,0.1115,0.011826839,#000089,0,0,137,0.007843137,0,129.99641,187.618369,#C0_0_93f72b35f6
224,0.112,0.011819183,#000089,0,0,137,0.007843137,0,130.121247,187.619681,#C0_0_93f72b35f6
225,0.1125,0.011809591,#000089,0,0,137,0.007843137,0,130.246083,187.621325,#C0_0_93f72b35f6
226,0.113,0.011800792,#000089,0,0,137,0.007843137,0,130.370919,187.622833,#C0_0_93f72b35f6
227,0.1135,0.011794374,#000089,0,0,137,0.007843137,0,130.495756,187.623933,#C0_0_93f72b35f6
228,0.114,0.011791013,#000089,0,0,137,0.007843137,0,130.620592,187.624509,#C0_0_93f72b35f6
229,0.1145,0.011790902,#000089,0,0,137,0.007843137,0,130.745428,187.624528,#C0_0_93f72b35f6
230,0.115,0.011793259,#000089,0,0,137,0.007843137,0,130.870265,187.624124,#C0_0_93f72b35f6
231,0.1155,0.011796013,#000089,0,0,137,0.007843137,0,130.995101,187.623652,#C0_0_93f72b35f6
232,0.116,0.011798447,#000089,0,0,137,0.007843137,0,131.119938,187.623235,#C0_0_93f72b35f6
233,0.1165,0.011802035,#000089,0,0,137,0.007843137,0,131.244774,187.62262,#C0_0_93f72b35f6
234,0.117,0.01181032,#000089,0,0,137,0.007843137,0,131.36961,187.6212,#C0_0_93f72b35f6
235,0.1175,0.011826909,#000089,0,0,137,0.007843137,0,131.494447,187.618357,#C0_0_93f72b35f6
236,0.118,0.0118525,#000089,0,0,137,0.007843137,0,131.619283,187.613971,#C0_0_93f72b35f6
237,0.1185,0.011887532,#000089,0,0,137,0.007843137,0,131.744119,187.607967,#C0_0_93f72b35f6
238,0.119,0.011931456,#000089,0,0,137,0.007843137,0,131.868956,187.600439,#C0_0_93f72b35f6
239,0.1195,0.011981437,#000089,0,0,137,0.007843137,0,131.993792,187.591873,#C0_0_93f72b35f6
240,0.12,0.012035893,#000089,0,0,137,0.007843137,0,132.118628,187.58254,#C0_0_93f72b35f6
241,0.1205,0.012093674,#000089,0,0,137,0.007843137,0,132.243465,187.572637,#C0_0_93f72b35f6
242,0.121,0.012154969,#000089,0,0,137,0.007843137,0,132.368301,187.562132,#C0_0_93f72b35f6
243,0.1215,0.012221928,#000089,0,0,137,0.007843137,0,132.493138,187.550656,#C0_0_93f72b35f6
244,0.122,0.012293994,#000089,0,0,137,0.007843137,0,132.617974,187.538305,#C0_0_93f72b35f6
245,0.1225,0.012370155,#000089,0,0,137,0.007843137,0,132.74281,187.525252,#C0_0_93f72b35f6
246,0.123,0.012449747,#000089,0,0,137,0.007843137,0,132.867647,187.511611,#C0_0_93f72b35f6
247,0.1235,0.012531224,#000089,0,0,137,0.007843137,0,132.992483,187.497647,#C0_0_93f72b35f6
248,0.124,0.012615344,#000089,0,0,137,0.007843137,0,133.117319,187.48323,#C0_0_93f72b35f6
249,0.1245,0.01270262,#000089,0,0,137,0.007843137,0,133.242156,187.468272,#C0_0_93f72b35f6
