rank,source,name,start_sample,start_time_sec,correlation,affine_nrmse,affine_scale,affine_offset
1,P12 continuous trace,,425732,212.866,0.30557849269136994,0.11136254724507849,0.1856070934983472,-0.002979615138762898
2,P12 continuous trace,,352334,176.167,0.30152630803316605,0.11151353495294498,0.1822395716951279,-0.002591186341177267
3,P12 continuous trace,,447478,223.739,0.3005494376669251,0.1115496021525952,0.18082542052202472,-0.002578505302182078
4,P12 continuous trace,,269091,134.5455,0.29326376449861635,0.11181454867563864,0.18043067691060208,-0.0008171630288261174
5,P12 continuous trace,,171613,85.8065,0.2921658658595696,0.1118538569941411,0.17666153005823018,-0.0032463794099952723
6,P12 continuous trace,,153411,76.7055,0.2904721423164702,0.11191418173198849,0.17789835084708047,-0.0024657694645709547
7,P12 continuous trace,,239599,119.7995,0.2896612935119608,0.1119429258542473,0.17760294798353382,-0.0021807374858293345
8,P12 continuous trace,,110405,55.2025,0.28571769168867706,0.11208147501269825,0.4591037044658747,0.004417882081485316
9,P12 continuous trace,,284140,142.07,0.285568087386296,0.11208669026977959,0.17711466807791254,-0.0009819571238106751
10,P12 continuous trace,,246640,123.32,0.2827754618747427,0.1121834967105932,0.1761528358387374,-0.0008080432182103477
11,P12 continuous trace,,144314,72.157,0.2818262771428259,0.11221616473865283,0.16988682712891637,-0.002834078881432709
12,P12 continuous trace,,261590,130.795,0.2818176991806639,0.11221645942171278,0.1744181032699229,-0.0009101222139417126
