sample_index,time_seconds,measured_ecg,predicted_ecg
0,0.0000000,-0.00072175345849245787,-0.86040002107620239
1,0.0005000,-0.0035569267347455025,-0.87669998407363892
2,0.0010000,-0.0090379007160663605,-0.89079999923706055
3,0.0015000,-0.016890795901417732,-0.90240001678466797
4,0.0020000,-0.026896849274635315,-0.91180002689361572
5,0.0025000,-0.03887438029050827,-0.9187999963760376
6,0.0030000,-0.052628040313720703,-0.92339998483657837
7,0.0035000,-0.067971169948577881,-0.92580002546310425
8,0.0040000,-0.084752224385738373,-0.92589998245239258
9,0.0045000,-0.10284116864204407,-0.92379999160766602
10,0.0050000,-0.12205213308334351,-0.91960000991821289
11,0.0055000,-0.14217284321784973,-0.9132000207901001
12,0.0060000,-0.16300934553146362,-0.90479999780654907
13,0.0065000,-0.18438760936260223,-0.89440000057220459
14,0.0070000,-0.20615594089031219,-0.88220000267028809
15,0.0075000,-0.22814065217971802,-0.86809998750686646
16,0.0080000,-0.25019407272338867,-0.8521999716758728
17,0.0085000,-0.27220314741134644,-0.83469998836517334
18,0.0090000,-0.29401129484176636,-0.8156999945640564
19,0.0095000,-0.3154628574848175,-0.79519999027252197
20,0.0100000,-0.33643129467964172,-0.77329999208450317
21,0.0105000,-0.35679769515991211,-0.75019997358322144
22,0.0110000,-0.37645933032035828,-0.72600001096725464
23,0.0115000,-0.39532282948493958,-0.70069998502731323
24,0.0120000,-0.41327366232872009,-0.6744999885559082
25,0.0125000,-0.4301629364490509,-0.64740002155303955
26,0.0130000,-0.44587033987045288,-0.61970001459121704
27,0.0135000,-0.46031752228736877,-0.59130001068115234
28,0.0140000,-0.47343987226486206,-0.5625
29,0.0145000,-0.48519811034202576,-0.53320002555847168
30,0.0150000,-0.49555030465126038,-0.50370001792907715
31,0.0155000,-0.50445473194122314,-0.47400000691413879
32,0.0160000,-0.51190650463104248,-0.44420000910758972
33,0.0165000,-0.51791691780090332,-0.41449999809265137
34,0.0170000,-0.52249151468276978,-0.38479998707771301
35,0.0175000,-0.52562958002090454,-0.35539999604225159
36,0.0180000,-0.52733403444290161,-0.32620000839233398
37,0.0185000,-0.5276111364364624,-0.29750001430511475
38,0.0190000,-0.52646750211715698,-0.26919999718666077
39,0.0195000,-0.52392709255218506,-0.24140000343322754
40,0.0200000,-0.52003937959671021,-0.21420000493526459
41,0.0205000,-0.51485633850097656,-0.18770000338554382
42,0.0210000,-0.50841838121414185,-0.16200000047683716
43,0.0215000,-0.5007709264755249,-0.13699999451637268
44,0.0220000,-0.49196693301200867,-0.11289999634027481
45,0.0225000,-0.48205441236495972,-0.08959999680519104
46,0.0230000,-0.47108826041221619,-0.067299999296665192
47,0.0235000,-0.45914483070373535,-0.045899998396635056
48,0.0240000,-0.44628739356994629,-0.025499999523162842
49,0.0245000,-0.43254798650741577,-0.0060999998822808266
50,0.0250000,-0.41796687245368958,0.012199999764561653
51,0.0255000,-0.40261459350585938,0.029600000008940697
52,0.0260000,-0.38657230138778687,0.045899998396635056
53,0.0265000,-0.3699200451374054,0.061099998652935028
54,0.0270000,-0.35273036360740662,0.075400002300739288
55,0.0275000,-0.33506309986114502,0.088500000536441803
56,0.0280000,-0.31697311997413635,0.10069999843835831
57,0.0285000,-0.29850709438323975,0.11180000007152557
58,0.0290000,-0.2797120213508606,0.12200000137090683
59,0.0295000,-0.26065453886985779,0.13120000064373016
60,0.0300000,-0.24141043424606323,0.13950000703334808
61,0.0305000,-0.22204779088497162,0.14679999649524689
62,0.0310000,-0.20263069868087769,0.15330000221729279
63,0.0315000,-0.18321816623210907,0.15889999270439148
64,0.0320000,-0.1638539731502533,0.16369999945163727
65,0.0325000,-0.14456994831562042,0.16779999434947968
66,0.0330000,-0.12540557980537415,0.17110000550746918
67,0.0335000,-0.10641022026538849,0.17380000650882721
68,0.0340000,-0.087630666792392731,0.17569999396800995
69,0.0345000,-0.069105930626392365,0.17710000276565552
70,0.0350000,-0.050868608057498932,0.17790000140666962
71,0.0355000,-0.032956473529338837,0.17820000648498535
72,0.0360000,-0.015410106629133224,0.17810000479221344
73,0.0365000,0.0017376895993947983,0.17749999463558197
74,0.0370000,0.018452256917953491,0.17649999260902405
75,0.0375000,0.034704960882663727,0.17509999871253967
76,0.0380000,0.050480823963880539,0.17350000143051147
77,0.0385000,0.065757602453231812,0.17159999907016754
78,0.0390000,0.080512151122093201,0.16940000653266907
79,0.0395000,0.094735801219940186,0.16709999740123749
80,0.0400000,0.10842882841825485,0.16459999978542328
81,0.0405000,0.12158459424972534,0.16189999878406525
82,0.0410000,0.13418327271938324,0.15919999778270721
83,0.0415000,0.14620710909366608,0.15639999508857727
84,0.0420000,0.1576511412858963,0.15360000729560852
85,0.0425000,0.16851474344730377,0.15080000460147858
86,0.0430000,0.17879405617713928,0.14800000190734863
87,0.0435000,0.18849219381809235,0.14519999921321869
88,0.0440000,0.19762146472930908,0.14239999651908875
89,0.0445000,0.20619106292724609,0.13979999721050262
90,0.0450000,0.21419844031333923,0.1371999979019165
91,0.0455000,0.22164006531238556,0.13470000028610229
92,0.0460000,0.22852712869644165,0.13230000436306
93,0.0465000,0.23487778007984161,0.13009999692440033
94,0.0470000,0.24070478975772858,0.12800000607967377
95,0.0475000,0.24601916968822479,0.12600000202655792
96,0.0480000,0.25083112716674805,0.1242000013589859
97,0.0485000,0.25514429807662964,0.12250000238418579
98,0.0490000,0.25896304845809937,0.120899997651577
99,0.0495000,0.26230207085609436,0.11959999799728394
100,0.0500000,0.26518464088439941,0.11829999834299088
101,0.0505000,0.26763415336608887,0.11720000207424164
102,0.0510000,0.26967400312423706,0.11630000174045563
103,0.0515000,0.27132469415664673,0.11550000309944153
104,0.0520000,0.27260595560073853,0.11490000039339066
105,0.0525000,0.27354669570922852,0.11439999938011169
106,0.0530000,0.27416872978210449,0.11400000005960464
107,0.0535000,0.27448660135269165,0.11370000243186951
108,0.0540000,0.27452346682548523,0.1136000007390976
109,0.0545000,0.27429601550102234,0.1136000007390976
110,0.0550000,0.27381375432014465,0.11370000243186951
111,0.0555000,0.27309256792068481,0.11389999836683273
112,0.0560000,0.27214795351028442,0.11420000344514847
113,0.0565000,0.27099704742431641,0.11460000276565552
114,0.0570000,0.26965844631195068,0.11500000208616257
115,0.0575000,0.26814508438110352,0.11559999734163284
116,0.0580000,0.26647430658340454,0.11620000004768372
117,0.0585000,0.26467150449752808,0.1168999969959259
118,0.0590000,0.26275622844696045,0.1177000030875206
119,0.0595000,0.26073765754699707,0.1185000017285347
120,0.0600000,0.25861936807632446,0.1193000003695488
121,0.0605000,0.25641116499900818,0.12020000070333481
122,0.0610000,0.25412902235984802,0.12110000103712082
123,0.0615000,0.25178644061088562,0.12210000306367874
124,0.0620000,0.24940191209316254,0.12309999763965607
125,0.0625000,0.24699053168296814,0.12409999966621399
126,0.0630000,0.2445598840713501,0.12510000169277191
127,0.0635000,0.24211926758289337,0.12620000541210175
128,0.0640000,0.23967140913009644,0.12720000743865967
129,0.0645000,0.23721271753311157,0.12829999625682831
130,0.0650000,0.23474632203578949,0.12939999997615814
131,0.0655000,0.23228316009044647,0.13040000200271606
132,0.0660000,0.22983567416667938,0.1315000057220459
133,0.0665000,0.22741302847862244,0.13249999284744263
134,0.0670000,0.22502332925796509,0.13359999656677246
135,0.0675000,0.2226777970790863,0.13459999859333038
136,0.0680000,0.22039137780666351,0.13560000061988831
137,0.0685000,0.21818184852600098,0.13660000264644623
138,0.0690000,0.21605959534645081,0.13750000298023224
139,0.0695000,0.21402265131473541,0.13840000331401825
140,0.0700000,0.21206675469875336,0.13930000364780426
141,0.0705000,0.21019436419010162,0.14020000398159027
142,0.0710000,0.20841161906719208,0.14100000262260437
143,0.0715000,0.20672224462032318,0.14180000126361847
144,0.0720000,0.20513187348842621,0.14259999990463257
145,0.0725000,0.20364604890346527,0.14329999685287476
146,0.0730000,0.20225934684276581,0.14399999380111694
147,0.0735000,0.20095863938331604,0.14460000395774841
148,0.0740000,0.19973848760128021,0.14519999921321869
149,0.0745000,0.19860303401947021,0.14569999277591705
150,0.0750000,0.19755394756793976,0.14620000123977661
151,0.0755000,0.19659028947353363,0.14669999480247498
152,0.0760000,0.19571292400360107,0.14710000157356262
153,0.0765000,0.19492132961750031,0.14749999344348907
154,0.0770000,0.19421014189720154,0.14779999852180481
155,0.0775000,0.19357158243656158,0.14810000360012054
156,0.0780000,0.19300203025341034,0.14839999377727509
157,0.0785000,0.19250336289405823,0.14859999716281891
158,0.0790000,0.19207747280597687,0.14880000054836273
159,0.0795000,0.19171881675720215,0.14900000393390656
