sample_index,time_seconds,measured_ecg,predicted_ecg
0,0.0000000,-3.156819730065763e-05,-0.012099999934434891
1,0.0005000,-0.00015985613572411239,-0.011900000274181366
2,0.0010000,-0.00041522920946590602,-0.011800000444054604
3,0.0015000,-0.00078363629290834069,-0.011599999852478504
4,0.0020000,-0.0012450426584109664,-0.011500000022351742
5,0.0025000,-0.0017893003532662988,-0.011300000362098217
6,0.0030000,-0.0024116986896842718,-0.01119999960064888
7,0.0035000,-0.0031002662144601345,-0.010999999940395355
8,0.0040000,-0.0038398990873247385,-0.01080000028014183
9,0.0045000,-0.0046179760247468948,-0.010700000450015068
10,0.0050000,-0.0054260054603219032,-0.010499999858438969
11,0.0055000,-0.006254841573536396,-0.010300000198185444
12,0.0060000,-0.0070972340181469917,-0.0099999997764825821
13,0.0065000,-0.0079506691545248032,-0.0098000001162290573
14,0.0070000,-0.0088073108345270157,-0.0094999996945261955
15,0.0075000,-0.0096596935763955116,-0.0092000002041459084
16,0.0080000,-0.010507460683584213,-0.0088999997824430466
17,0.0085000,-0.011350043118000031,-0.008500000461935997
18,0.0090000,-0.012184696272015572,-0.0081000002101063728
19,0.0095000,-0.013007292523980141,-0.0076000001281499863
20,0.0100000,-0.013814210891723633,-0.0071000000461935997
21,0.0105000,-0.014600572176277637,-0.0065999999642372131
22,0.0110000,-0.015357211232185364,-0.0060000000521540642
23,0.0115000,-0.016082227230072021,-0.0054000001400709152
24,0.0120000,-0.016781151294708252,-0.0046999999321997166
25,0.0125000,-0.017456358298659325,-0.0040000001899898052
26,0.0130000,-0.018106710165739059,-0.0031999999191612005
27,0.0135000,-0.018730143085122108,-0.0024000001139938831
28,0.0140000,-0.019325267523527145,-0.0015999999595806003
29,0.0145000,-0.019890952855348587,-0.000699999975040555
30,0.0150000,-0.020423799753189087,0.00030000001424923539
31,0.0155000,-0.0209212526679039,0.0013000000035390258
32,0.0160000,-0.021385889500379562,0.0023000000510364771
33,0.0165000,-0.021821694448590279,0.0032999999821186066
34,0.0170000,-0.022229032590985298,0.0043999999761581421
35,0.0175000,-0.022604970261454582,0.0054999999701976776
36,0.0180000,-0.022947588935494423,0.0066999997943639755
37,0.0185000,-0.023257710039615631,0.0078999996185302734
38,0.0190000,-0.023535396903753281,0.009100000374019146
39,0.0195000,-0.023779004812240601,0.010300000198185444
40,0.0200000,-0.023991504684090614,0.011599999852478504
41,0.0205000,-0.024180099368095398,0.012799999676644802
42,0.0210000,-0.024346590042114258,0.014100000262260437
43,0.0215000,-0.024486865848302841,0.015399999916553497
44,0.0220000,-0.024599293246865273,0.016699999570846558
45,0.0225000,-0.024686075747013092,0.017999999225139618
46,0.0230000,-0.024748785421252251,0.019200000911951065
47,0.0235000,-0.024786472320556641,0.020500000566244125
48,0.0240000,-0.024800067767500877,0.021800000220537186
49,0.0245000,-0.024793576449155807,0.023000000044703484
50,0.0250000,-0.024767071008682251,0.024299999698996544
51,0.0255000,-0.024717269465327263,0.025499999523162842
52,0.0260000,-0.02464345283806324,0.02669999934732914
53,0.0265000,-0.024546071887016296,0.027899999171495438
54,0.0270000,-0.024426080286502838,0.028999999165534973
55,0.0275000,-0.024284915998578072,0.030099999159574509
56,0.0280000,-0.024123888462781906,0.031199999153614044
57,0.0285000,-0.023945128545165062,0.032200001180171967
58,0.0290000,-0.023748472332954407,0.03319999948143959
59,0.0295000,-0.023532487452030182,0.034200001507997513
60,0.0300000,-0.023297730833292007,0.035100001841783524
61,0.0305000,-0.023044440895318985,0.035999998450279236
62,0.0310000,-0.022773677483201027,0.036800000816583633
63,0.0315000,-0.022488690912723541,0.037599999457597733
64,0.0320000,-0.022192515432834625,0.03840000182390213
65,0.0325000,-0.021886015310883522,0.039099998772144318
66,0.0330000,-0.021567011252045631,0.03970000147819519
67,0.0335000,-0.021234294399619102,0.040399998426437378
68,0.0340000,-0.020888887345790863,0.040899999439716339
69,0.0345000,-0.020533133298158646,0.0414000004529953
70,0.0350000,-0.020169349387288094,0.041900001466274261
71,0.0355000,-0.01979658380150795,0.042300000786781311
72,0.0360000,-0.019413817673921585,0.042700000107288361
73,0.0365000,-0.019022827968001366,0.043000001460313797
74,0.0370000,-0.018623979762196541,0.043299999088048935
75,0.0375000,-0.018214857205748558,0.043600000441074371
76,0.0380000,-0.017794005572795868,0.043800000101327896
77,0.0385000,-0.017363052815198898,0.043999999761581421
78,0.0390000,-0.016925200819969177,0.044100001454353333
79,0.0395000,-0.01647932268679142,0.044300001114606857
80,0.0400000,-0.016025301069021225,0.044300001114606857
81,0.0405000,-0.015569227747619152,0.04439999908208847
82,0.0410000,-0.015112661756575108,0.04439999908208847
